"COUNTY: AITKIN",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Cedar Island","Richmond",998,755,75,3
"Eden","Eden Valley",263,124,77,12
"Grand","Cold Spring",655,235,34,4
"Great Northern","Cold Spring",356,355,19,2
"Horseshoe","Richmond",550,275,57,4.5
"Knaus","Cold Spring",205,202,20,2
"Koronis","Paynesville",3014,1176,132,9.9
"Long","Richmond",460,304,35,2.5
"Lower Spunk","Avon",280,232,27.5,7.5
"Middle Spunk","Avon",236.3,80.8,81,10
"North Browns","Eden Valley",324,130,41,7
"Pearl","Cold Spring",733,511,17,3.7
"Pelican","St.Anna",337,135,46,13.5
"Pleasant","Pleasant Lake",222,100,33,8
"Rice","Paynesville",1639,958,41,8
"Sand","Albany",202,202,12,2.9
"Two Rivers","Holdingford",575,201,63,5.2
"Uhlenkolts","New Munich",258,"N/A",18,9.5
"Return to the top",,,,,
"COUNTY: STEVENS",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Hattie","Alberta",477,477,9,3.2
"Long","Cyrus",579,579,12,1.5
"Olson","Cyrus",425,425,20,2
"Page","Hancock",372,171,17,7
"Perkins","Morris",512,512,13,3.5
"Return to the top",,,,,
"COUNTY: SWIFT",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Camp","Swift Falls",203,97,26,3.83
"Large Henry","Appleton",220,"N/A",9,"N/A"
"Oliver","Appleton",416,300,35,5
"Shible","Appleton",340,340,8.5,2
"Return to the top",,,,,
"COUNTY: TODD",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Beauty","Long Prairie",237,137,27,8
"Big","Cushing",277,166,21,7.2
"Big Birch","Grey Eagle",2108,642,81,4.2
"Big Sauk","Sauk Centre",2094,1389,59,4.1
"Big Swan","Burtrum",918,404,45,5
"Fairy","Sauk Centre",297,140,37,"N/A"
"Lady","Grey Eagle",207,68,62,10
"Little Birch","Grey Eagle",838,277,89,4.5
"Little Sauk","Sauk Centre",268,161,29,6
"Long","Burtrum",372,79,63,12
"Long","Sauk Centre",215,65,36,"N/A"
"Maple","Little Sauk",367,150,23,"N/A"
"Mound","Burtrum",273,88,57,13.5
"Osakis","Osakis",6270,3146,73,3.5
"Pine Island","Cushing",234,124,26,12
"Twin","Grey Eagle",314,299,43,1.5
"Return to the top",,,,,
"COUNTY: TRAVERSE",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Mud","Wheaton",1640,1640,6.5,3
"Traverse","Browns Valley",11528,11528,12,"N/A"
"Return to the top",,,,,
"COUNTY: WADENA",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Blueberry","Menahga",522,522,15,4.5
"Lower Twin","Menahga",391,175,26,3.5
"Spirit","Menahga",115,65,45,8.3
"Stocking","Menahga",343,326,22,5
"Return to the top",,,,,
"COUNTY: WASECA",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Clear","Waseca",652,448,34,"N/A"
"Elysian","Elysian",1902,1902,13,"N/A"
"Loon","Waseca",122,122,9,"N/A"
"Reeds","Elysian",187,110,58,12.5
"Return to the top",,,,,
"COUNTY: WASHINGTON",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Big Carnelian","Stillwater",464,131,66,9
"Big Marine","Forest Lake",1756,1152,60,9
"Bone","Forest Lake",210,124,30,9.5
"Clear","Forest Lake",424,267,28,4.5
"Demontreville","Lake Elmo",143,129,24,12
"Elmo","Lake Elmo",206,44,140,14
"Forest Lake","Forest Lake",2251,1531,37,5.1
"Jane","Lake Elmo",145,104,39,17
"Pine Tree","Dellwood",120,109,31,"n/a"
"Square","Stillwater",195,65,68,21.6
"Sunset","White Bear Lake",124,124,17,5
"White Bear","White Bear Lake",2416,1314,83,15.5
"Return to the top",,,,,
"COUNTY: WRIGHT",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Crawford","Montrose",109,107,19,14
"Dean","Buffalo",173,125,20,3.5
"Deer","Buffalo",163,126,27,4.5
"Dutch","Howard Lake",153,112,21,2.3
"Eagle","Maple Lake",244,169,38,4.2
"Emma","Howard Lake",177,177,17,9
"French","Annanndale",332,156,50,5
"Granite","Annanndale",339,108,34,6
"Howard","Howard Lake",717,318,39,3.5
"Ida","Monticello",231,109,60,15.5
"Indian","Silver Creek",146,65,31,3.5
"John","Annanndale",411,353,28,7.3
"Limestone","Clearwater",188,101,34,8.3
"Locke","Clearwater",156,67,49,4.3
"Maple","Maple Lake",777,396,76,8.8
"Mary","Maple Lake",209,82,102,5.5
"Mary","Winsted",196,84,47,6.5
"Mink","Maple Lake",301,276,39,2.7
"Pleasant","Annanndale",509,260,74,11.5
"Pulaski","Buffalo",702,122,87,8
"Ramsey","Maple Lake",275,135,80,4
"Somers","Maple Lake",158,128,21,2
"Sugar","Annanndale",1015,357,69,8
"Sylvia","South Haven",652,170,78,17
"Twin","South Haven",872,244,97,"n/a"
"Waverly","Waverly",485,141,71,3
"Return to the top",,,,,
